TimeStep,Context,qd_norm,tau_actual_norm,tau_planned_norm,p_norm,r_norm,residual_raw,residual_clipped,EWMA_Fast,EWMA_Slow,EWMA_Delta,Threshold,Attack_Flag
62,0,3.36885,233.639,29.6668,0.680337,233.157,233.157,100,0,0,0,0,0
63,0,2.51229,266.515,29.7636,0.672241,234.69,234.69,100,0,0,0,0,0
64,0,3.34789,244.584,29.841,0.680944,243.914,243.914,100,0,0,0,0,0
65,0,3.18877,269.116,29.8604,0.748464,247.263,247.263,100,0,0,0,0,0
66,0,3.21296,265.427,29.9377,0.799473,238.812,238.812,100,0,0,0,0,0
67,0,3.35496,259.667,29.9764,0.712401,249.404,249.404,100,0,0,0,0,0
68,0,1.8272,269.541,30.0537,0.764321,244.289,244.289,100,0,0,0,0,0
69,0,3.22683,272.26,30.1502,0.791076,256.272,256.272,100,0,0,0,0,0
70,0,3.03387,275.436,30.2659,0.814382,256.198,256.198,100,0,0,0,0,0
71,0,3.36207,254.502,30.4007,0.713945,263.359,263.359,100,0,0,0,0,0
72,0,3.36375,281.105,30.4392,0.714952,257.559,257.559,100,0,0,0,0,0
73,0,1.59756,281.413,30.4969,0.758866,259.467,259.467,100,0,0,0,0,0
74,0,3.29254,269.788,30.5546,0.826398,255.339,255.339,100,0,0,0,0,0
75,0,1.49013,276.227,30.6314,0.788152,265.363,265.363,100,0,0,0,0,0
76,0,2.38536,290.032,30.7082,0.825325,264.786,264.786,100,0,0,0,0,0
77,0,3.2811,290.475,30.7465,0.734783,271.106,271.106,100,0,0,0,0,0
78,0,2.36434,291.799,30.804,0.763272,273.877,273.877,100,0,0,0,0,0
79,0,3.25789,292.18,30.8423,0.737821,269.434,269.434,100,0,0,0,0,0
80,0,2.96189,294.906,30.8806,0.704113,276.102,276.102,100,0,0,0,0,0
81,0,3.36113,283.997,30.9572,0.820684,266.372,266.372,100,0,0,0,0,0
82,0,3.17504,277.453,31.0145,0.763031,275.253,275.253,100,0,0,0,0,0
83,0,3.38556,298.67,31.0718,0.841487,278.261,278.261,100,0,0,0,0,0
